,Country,Country Group,OPEC Member,Year, Crude oil production,Oil demand,Crude oil exports,Imports of crude oil,GDP,Oil Price
0,Algeria,Africa ,Yes,1987,648.225,174.50487671232878,240.0,8.142246575342465,66742267773.1959,18.53
1,Angola,Africa ,Yes,1987,357.655,29.59163304772659,342.4,0.0,6684491978.60963,18.53
2,Argentina,Latin America,No,1987,428.999,485.0,,,111106191358.197,18.53
3,Australia,OECD Asia Pacific,No,1987,485.449,661.0,88.28120547945207,85.47145,189375992588.671,18.53
4,Azerbaijan,Other Eurasia,No,1987,258.857,,,,,18.53
5,Bahrain,Middle East ,No,1987,42.334,,0.0,195.0,3392021010.6383,18.53
6,Brazil,Latin America,No,1987,566.525,1374.0,0.0,618.353178,294084112392.66,18.53
7,Brunei,Other Asia,No,1987,142.704,,147.815,,,18.53
8,Cameroon,Africa ,No,1987,170.87099999999998,,,,12302471429.4318,18.53
9,Canada,OECD Americas,No,1987,1237.821,1607.0,527.57085,405.4307671232877,431316742081.448,18.53
10,Chad,Africa ,No,1987,0.0,,,,1163426850.65024,18.53
11,Chile,OECD Americas,No,1987,27.647,106.0,,53.5,22255407684.6999,18.53
12,China,China,No,1987,2666.233,2112.0,581.01705,10.0273973,272972974764.574,18.53
13,Colombia,Latin America,No,1987,385.047,195.0,145.57043,,36373307085.0887,18.53
14,Congo,Africa ,Yes,1987,123.0,2.1370531080206407,105.407,0.0,,18.53
15,Denmark,OECD Europe,No,1987,93.646,,,,109414353171.645,18.53
16,Ecuador,Latin America,No,1987,180.859,82.78079452054794,123.5,15.081205479452056,13945431882.2271,18.53
17,Egypt,Africa ,No,1987,898.4029999999999,440.0,450.122,0.0,,18.53
18,Equatorial Guinea,Africa ,Yes,1987,0.0,0.5,0.0,,93345847.7270323,18.53
19,Gabon,Africa ,Yes,1987,154.5,11.66189443584999,145.139,0.0,3281797038.66591,18.53
20,Ghana,Africa ,No,1987,0.0,,,,5074829931.97279,18.53
21,Guyana,Latin America,No,1987,0.0,,,,354591846.938775,18.53
22,India,India,No,1987,609.1039999999999,1002.0,0.0,361.482082,275311425330.609,18.53
23,Indonesia,Other Asia,No,1987,1158.115,498.0,799.72657,84.5536438,80844264668.1222,18.53
24,IR Iran,Middle East ,Yes,1987,2297.622,,1710.0,0.0,,18.53
25,Iraq,Middle East ,Yes,1987,2358.671,313.9899114693844,1717.0,0.0,56609842393.0524,18.53
26,Kazakhstan,Other Eurasia,No,1987,444.424,371.7882191780822,,,,18.53
27,Kuwait,Middle East ,Yes,1987,971.611,226.56586301369865,607.0,0.0,22365734481.5213,18.53
28,Libya,Africa ,Yes,1987,972.504,132.0,810.0,0.0,,18.53
29,Malaysia,Other Asia,No,1987,452.068,201.0,380.865,32.772032742155524,32181695507.2234,18.53
30,Mexico,OECD Americas,No,1987,2540.967,1576.0,1505.418410958904,,140263679436.947,18.53
31,Nigeria,Africa ,Yes,1987,1323.0,174.92216438356164,1065.2,0.0,24093203444.564,18.53
32,Norway,OECD Europe,No,1987,1018.645,,822.3506575342466,,94230055658.6271,18.53
33,Oman,Middle East ,No,1987,582.003,,,,7811183094.92848,18.53
34,Qatar,Middle East ,No,1987,284.618,16.960325295738162,214.0,0.0,5446428681.31868,18.53
35,Russia,Russia,No,1987,11152.736,5050.794876712329,5086.546004,,,18.53
36,Saudi Arabia,Middle East ,Yes,1987,3975.15,899.0000821917808,2416.5,9.044712328767124,85695861148.1976,18.53
37,Sudans,Africa ,No,1987,0.0,,0.0,,,18.53
38,Syrian Arab Rep.,Middle East ,No,1987,230.443,,,,,18.53
39,Thailand,Other Asia,No,1987,16.7,258.0,,164.754323,50535438696.4094,18.53
40,United Arab Emirates,Middle East ,Yes,1987,1242.287,239.70950843768088,1239.3,0.0,36384908744.2114,18.53
41,United Kingdom,OECD Europe,No,1987,2457.213,1611.0,1616.2107123287672,632.7902191780822,745162608269.325,18.53
42,United States,OECD Americas,No,1987,8348.974999999999,16939.0,151.0,4674.0,4870217000000.0,18.53
43,Venezuela,Latin America,Yes,1987,1575.5,396.19939726027394,1026.9,0.0,,18.53
44,Vietnam,Other Asia,No,1987,0.0,52.0,5.0,,36658108850.3149,18.53
45,Yemen,Middle East ,No,1987,0.0,,,,,18.53
46,Belarus,,No,1987,,,,,,18.53
47,Belgium,,No,1987,,457.0,,485.18830136986304,150194077687.736,18.53
48,Bulgaria,,No,1987,,248.0,,255.043836,28101000000.0,18.53
49,Croatia,,No,1987,,75.13400935549612,,,,18.53
50,France,,No,1987,,1785.0,,1227.1352876712328,938368438284.405,18.53
51,Germany,,No,1987,,2723.0,,1688.67901369863,1293264353318.82,18.53
52,I.R.Iran,,No,1987,,895.4857534246577,,,,18.53
53,Italy,,No,1987,,1815.0,,1365.86769,803055418882.581,18.53
54,Japan,,No,1987,,4567.0,,3135.98338,2514283894261.86,18.53
55,Netherlands,,No,1987,,691.0,,903.6225753424658,241918791122.715,18.53
56,New Zealand,,No,1987,,90.0,,,40377592076.7564,18.53
57,Pakistan,,No,1987,,173.0,,,33351528115.351,18.53
58,Philippines,,No,1987,,183.0,,167.611973,33195933429.6008,18.53
59,Poland,,No,1987,,340.0,,,,18.53
60,Romania,,No,1987,,377.0,,439.320082,38413636363.6364,18.53
61,Serbia,,No,1987,,148.10190820659784,,,,18.53
62,Singapore,,No,1987,,323.0,,694.726027,20897630201.1573,18.53
63,South Africa,,No,1987,,314.0,,265.2514631484972,107414974090.178,18.53
64,South Korea,,No,1987,,627.0,,592.2249315068493,,18.53
65,Spain,,No,1987,,895.0,,894.12313,317882187036.787,18.53
66,Syria,,No,1987,,182.0,,,,18.53
67,Tunisia,,No,1987,,52.0,,,9696271268.25148,18.53
